,timestamp,customer_name,location
0,2019-09-10 09:48:00,John,2019-09-10 09:48:00
1,2019-09-10 09:49:00,John,2019-09-10 09:49:00
2,2019-09-10 09:50:00,John,2019-09-10 09:50:00
3,2019-09-10 10:44:00,William,2019-09-10 10:44:00
4,2019-09-10 10:45:00,William,2019-09-10 10:45:00
5,2019-09-10 10:46:00,William,2019-09-10 10:46:00
6,2019-09-10 10:47:00,William,2019-09-10 10:47:00
7,2019-09-10 10:48:00,William,2019-09-10 10:48:00
8,2019-09-10 10:49:00,William,2019-09-10 10:49:00
9,2019-09-10 10:50:00,William,2019-09-10 10:50:00
10,2019-09-10 10:51:00,William,2019-09-10 10:51:00
11,2019-09-10 10:52:00,William,2019-09-10 10:52:00
12,2019-09-10 10:53:00,William,2019-09-10 10:53:00
13,2019-09-10 10:54:00,William,2019-09-10 10:54:00
14,2019-09-10 10:55:00,William,2019-09-10 10:55:00
15,2019-09-10 08:19:00,James,2019-09-10 08:19:00
16,2019-09-10 08:20:00,James,2019-09-10 08:20:00
17,2019-09-10 08:21:00,James,2019-09-10 08:21:00
18,2019-09-10 10:19:00,Charles,2019-09-10 10:19:00
19,2019-09-10 10:20:00,Charles,2019-09-10 10:20:00
20,2019-09-10 10:21:00,Charles,2019-09-10 10:21:00
21,2019-09-10 10:22:00,Charles,2019-09-10 10:22:00
22,2019-09-10 10:23:00,Charles,2019-09-10 10:23:00
23,2019-09-10 10:24:00,Charles,2019-09-10 10:24:00
24,2019-09-10 10:25:00,Charles,2019-09-10 10:25:00
25,2019-09-10 10:26:00,Charles,2019-09-10 10:26:00
26,2019-09-10 10:27:00,Charles,2019-09-10 10:27:00
27,2019-09-10 14:10:00,George,2019-09-10 14:10:00
28,2019-09-10 14:11:00,George,2019-09-10 14:11:00
29,2019-09-10 14:12:00,George,2019-09-10 14:12:00
30,2019-09-10 14:13:00,George,2019-09-10 14:13:00
31,2019-09-10 14:14:00,George,2019-09-10 14:14:00
32,2019-09-10 14:15:00,George,2019-09-10 14:15:00
33,2019-09-10 14:16:00,George,2019-09-10 14:16:00
34,2019-09-10 07:46:00,Frank,2019-09-10 07:46:00
35,2019-09-10 07:47:00,Frank,2019-09-10 07:47:00
36,2019-09-10 07:48:00,Frank,2019-09-10 07:48:00
37,2019-09-10 07:49:00,Frank,2019-09-10 07:49:00
38,2019-09-10 07:50:00,Frank,2019-09-10 07:50:00
39,2019-09-10 07:51:00,Frank,2019-09-10 07:51:00
40,2019-09-10 07:52:00,Frank,2019-09-10 07:52:00
41,2019-09-10 07:53:00,Frank,2019-09-10 07:53:00
42,2019-09-10 07:54:00,Frank,2019-09-10 07:54:00
43,2019-09-10 07:55:00,Frank,2019-09-10 07:55:00
44,2019-09-10 07:56:00,Frank,2019-09-10 07:56:00
45,2019-09-10 07:57:00,Frank,2019-09-10 07:57:00
46,2019-09-10 07:58:00,Frank,2019-09-10 07:58:00
47,2019-09-10 07:59:00,Frank,2019-09-10 07:59:00
48,2019-09-10 08:00:00,Frank,2019-09-10 08:00:00
49,2019-09-10 08:01:00,Frank,2019-09-10 08:01:00
50,2019-09-10 08:02:00,Frank,2019-09-10 08:02:00
